size,msg,repetition,time
1000,10,19,352812540
1000,10,20,405926810
1000,10,21,605242451
1000,10,22,339629498
1000,10,23,642261268
1000,10,24,358697035
1000,10,25,390976865
1000,10,26,364467948
1000,10,27,471108347
1000,10,28,400263428
1000,10,29,399538719
1000,10,30,479972620
1000,10,31,485154215
1000,10,32,570773291
1000,10,33,483183745
1000,10,34,386138937
1000,10,35,410922757
1000,10,36,338469302
1000,10,37,462263576
1000,10,38,380890921
1000,10,39,523118564
1000,10,40,314805970
1000,10,41,446745386
1000,10,42,445569706
1000,10,43,743140605
1000,10,44,481905605
1000,10,45,535010952
1000,10,46,427146967
1000,10,47,417200099
1000,10,48,499273913
1000,10,49,313256923
1000,10,50,440277000
1000,10,51,470536178
1000,10,52,438285651
1000,10,53,583203836
1000,10,54,680714501
1000,10,55,640800959
1000,10,56,413756964
1000,10,57,432332512
1000,10,58,419497029
1000,10,59,579340866
1000,10,60,410909914
1000,10,61,544194103
1000,10,62,429670496
1000,10,63,329577867
1000,10,64,551293818
1000,10,65,733179291
1000,10,66,375410948
1000,10,67,521219990
1000,10,68,346051863
1000,10,69,357655521
1000,10,70,425549630
1000,10,71,465613641
1000,10,72,523354036
1000,10,73,587286306
1000,10,74,582378354
1000,10,75,412790482
1000,10,76,374366717
1000,10,77,441102720
1000,10,78,572159822
1000,10,79,510301886
1000,10,80,477564400
1000,10,81,566195073
1000,10,82,454072637
1000,10,83,335773548
1000,10,84,449636015
1000,10,85,403223464
1000,10,86,406963634
1000,10,87,508987934
1000,10,88,388758760
1000,10,89,375771438
1000,10,90,449510658
1000,10,91,499302324
1000,10,92,358296761
1000,10,93,329627284
1000,10,94,332723300
1000,10,95,395565683
1000,10,96,324207827
1000,10,97,423616841
1000,10,98,328749842
1000,10,99,384984773
1000,25,0,991140102
1000,25,1,919773774
1000,25,2,919661420
1000,25,3,1127014943
1000,25,4,1056783731
1000,25,5,966615774
1000,25,6,1063174568
1000,25,7,1016117071
1000,25,8,1080785182
1000,25,9,987129461
1000,25,10,930755941
1000,25,11,1015411112
1000,25,12,1008057553
1000,25,13,935500829
1000,25,14,845621710
1000,25,15,1053941754
1000,25,16,884649016
1000,25,17,847425477
1000,25,18,969435754
1000,25,19,955086041
1000,25,20,887197436
1000,25,21,969909305
1000,25,22,1027052839
1000,25,23,1035567520
1000,25,24,992248610
1000,25,25,884117205
1000,25,26,878733497
1000,25,27,1099888194
1000,25,28,984261991
1000,25,29,875751798
1000,25,30,807787910
1000,25,31,1146105476
1000,25,32,861859974
1000,25,33,1023564848
1000,25,34,1049902840
1000,25,35,1021086912
1000,25,36,1095353061
1000,25,37,930203124
1000,25,38,940280701
1000,25,39,1085371322
1000,25,40,1090889301
1000,25,41,934837050
1000,25,42,832390647
1000,25,43,1017393412
1000,25,44,1035657557
1000,25,45,914085674
1000,25,46,971265434
1000,25,47,1178286093
1000,25,48,1067204091
1000,25,49,882022826
1000,25,50,1050077199
1000,25,51,939781548
1000,25,52,896751155
1000,25,53,983380120
1000,25,54,859565567
1000,25,55,933476551
1000,25,56,1179902474
1000,25,57,1071348236
1000,25,58,1112678719
1000,25,59,1330938326
1000,25,60,1074274086
